2023-10-18T13:43:20.429132Z  INFO term: starting
2023-10-18T13:43:27.359077Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.376258Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.392056Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.425587Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.442017Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.458738Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.476285Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.492371Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.509332Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.526464Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.542412Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.559313Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.576373Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.593174Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.625720Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.659118Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.743080Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.826925Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.842685Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.875898Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.894055Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.909584Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.942981Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.960463Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.976753Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.993303Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:28.010816Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:28.026513Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:28.060460Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:28.093580Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:28.126418Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:28.209912Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:28.527716Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:29.035961Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:29.179209Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:29.229471Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:29.279203Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:29.328819Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:29.378406Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:29.479730Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:29.578495Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.401780Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.436816Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.450791Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.468219Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.484621Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.501277Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.519363Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.535559Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.551951Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.568955Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.601630Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.619329Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.635462Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.651887Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.668830Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.686507Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.702376Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.718500Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.734896Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.753045Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.769019Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.785275Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.802975Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.818602Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.835445Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.852509Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.869638Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.886786Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.919005Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.952529Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:44.968768Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.002018Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.036166Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.052361Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.118991Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
